key,truth,prediction
16,"{'heading': '205', 'target': 'purple, orange, and red helicopter', 'tool': 'electromagnetic pulse'}","{'heading': '205', 'tool': 'Control tower to air defense turrets', 'target': 'air defense turrets'}"
17,"{'heading': '240', 'target': 'brown, grey, and white fighter plane', 'tool': 'anti-air artillery'}","{'heading': '240', 'tool': 'turrets, prepare to engage target at heading two four zero. Deploy anti-air artillery', 'target': 'two four zero. Deploy anti - air artillery against the brown, grey, and white fighter plane'}"
18,"{'heading': '195', 'target': 'yellow fighter plane', 'tool': 'machine gun'}","{'heading': '5', 'tool': 'machine gun', 'target': 'yellow fighter plane'}"
19,"{'heading': '085', 'target': 'green commercial aircraft', 'tool': 'interceptor jets'}","{'heading': '085', 'tool': 'Deploy interceptor jets', 'target': 'zero eight five'}"
20,"{'heading': '335', 'target': 'orange, silver, and yellow cargo aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '335', 'tool': 'electromagnetic pulse', 'target': 'electromagnetic pulse on orange, silver, and yellow cargo aircraft'}"
21,"{'heading': '315', 'target': 'orange commercial aircraft', 'tool': 'interceptor jets'}","{'heading': '315', 'tool': 'Deploy interceptor jets', 'target': 'an orange commercial aircraft'}"
22,"{'heading': '230', 'target': 'black drone', 'tool': 'machine gun'}","{'heading': '230', 'tool': 'machine gun', 'target': 'black drone'}"
23,"{'heading': '235', 'target': 'red drone', 'tool': 'machine gun'}","{'heading': '235', 'tool': 'machine gun', 'target': 'red drone'}"
24,"{'heading': '335', 'target': 'grey camouflage cargo aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '335', 'tool': 'Fire at will', 'target': 'Fire at will'}"
25,"{'heading': '135', 'target': 'orange and black helicopter', 'tool': 'machine gun'}","{'heading': '135', 'tool': 'machine gun', 'target': 'Turret Alpha, engage orange and black helicopter'}"
26,"{'heading': '305', 'target': 'silver, grey, and red fighter jet', 'tool': 'interceptor jets'}","{'heading': '305', 'tool': 'Control tower to air defense turrets', 'target': 'silver, grey, and red fighter jet'}"
27,"{'heading': '185', 'target': 'grey, blue, and yellow fighter plane', 'tool': 'anti-air artillery'}","{'heading': '185', 'tool': 'anti-air artillery', 'target': 'the grey, blue, and yellow fighter plane'}"
28,"{'heading': '125', 'target': 'red cargo aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '125', 'tool': 'electromagnetic pulse', 'target': 'red cargo aircraft'}"
29,"{'heading': '270', 'target': 'brown and grey fighter plane', 'tool': 'electromagnetic pulse'}","{'heading': '270', 'tool': 'electromagnetic pulse', 'target': 'electromagnetic pulse'}"
30,"{'heading': '090', 'target': 'red and silver light aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '00', 'tool': 'surface-to-air missiles', 'target': 'red and silver light aircraft'}"
31,"{'heading': '320', 'target': 'purple and black commercial aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '320', 'tool': 'Engage surface-to-air missiles', 'target': 'purple and black commercial aircraft'}"
32,"{'heading': '295', 'target': 'yellow, white, and orange fighter plane', 'tool': 'machine gun'}","{'heading': '25', 'tool': 'machine gun system', 'target': 'the yellow, white, and orange fighter plane'}"
33,"{'heading': '135', 'target': 'red and blue drone', 'tool': 'drone catcher'}","{'heading': '135', 'tool': 'deploy drone catcher', 'target': 'red and blue drone'}"
34,"{'heading': '265', 'target': 'blue, yellow, and purple helicopter', 'tool': 'anti-air artillery'}","{'heading': '265', 'tool': 'anti-air artillery', 'target': 'anti - air artillery'}"
35,"{'heading': '270', 'target': 'silver missile', 'tool': 'machine gun'}","{'heading': '270', 'tool': 'air defense turrets', 'target': 'silver missile'}"
36,"{'heading': '350', 'target': 'silver and yellow light aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '350', 'tool': 'electromagnetic pulse', 'target': 'electromagnetic pulse'}"
37,"{'heading': '340', 'target': 'brown, silver, and green drone', 'tool': 'electromagnetic pulse'}","{'heading': '340', 'tool': 'electromagnetic pulse', 'target': 'electromagnetic pulse deployment against the brown, silver, and green drone'}"
38,"{'heading': '250', 'target': 'red fighter plane', 'tool': 'electromagnetic pulse'}","{'heading': '250', 'tool': '', 'target': 'Engage red fighter plane'}"
39,"{'heading': '330', 'target': 'yellow and white camouflage fighter jet', 'tool': 'electromagnetic pulse'}","{'heading': '330', 'tool': 'Control tower to turrets, this is operator speaking. Engage yellow and white camouflage fighter jet at heading three three zero with electromagnetic pulse', 'target': 'turrets'}"
40,"{'heading': '285', 'target': 'red, black, and green drone', 'tool': 'surface-to-air missiles'}","{'heading': '285', 'tool': 'surface-to-air missiles', 'target': 'surface - to - air missiles'}"
41,"{'heading': '040', 'target': 'orange and yellow fighter jet', 'tool': 'interceptor jets'}","{'heading': '040', 'tool': 'Engage', 'target': 'an orange and yellow fighter jet'}"
42,"{'heading': '115', 'target': 'silver, brown, and grey cargo aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '115', 'tool': 'Deploy surface-to-air missiles', 'target': 'silver, brown, and grey cargo aircraft'}"
43,"{'heading': '065', 'target': 'red, green, and purple commercial aircraft', 'tool': 'EMP'}","{'heading': '065', 'tool': 'Deploy EMP', 'target': 'Engage'}"
44,"{'heading': '240', 'target': 'silver, blue, and brown missile', 'tool': 'EMP'}","{'heading': '240', 'tool': 'EMP', 'target': 'silver, blue, and brown missile'}"
45,"{'heading': '145', 'target': 'yellow and silver missile', 'tool': 'machine gun'}","{'heading': '145', 'tool': 'machine gun', 'target': 'yellow and silver missile'}"
46,"{'heading': '325', 'target': 'blue and orange fighter jet', 'tool': 'anti-air artillery'}","{'heading': '325', 'tool': 'anti-air artillery', 'target': 'blue and orange fighter jet'}"
47,"{'heading': '090', 'target': 'black camouflage commercial aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '00', 'tool': 'deploy electromagnetic pulse', 'target': 'zero niner zero, deploy electromagnetic pulse'}"
48,"{'heading': '340', 'target': 'blue light aircraft', 'tool': 'machine gun'}","{'heading': '340', 'tool': 'deploy machine gun', 'target': 'blue light aircraft'}"
49,"{'heading': '330', 'target': 'silver, black, and orange drone', 'tool': 'machine gun'}","{'heading': '330', 'tool': 'deploy machine gun', 'target': 'silver, black, and orange drone'}"
50,"{'heading': '155', 'target': 'purple, brown, and silver cargo aircraft', 'tool': 'anti-air artillery'}","{'heading': '155', 'tool': 'anti-air artillery', 'target': 'anti - air artillery'}"
51,"{'heading': '285', 'target': 'blue and brown light aircraft', 'tool': 'anti-air artillery'}","{'heading': '285', 'tool': 'anti-air artillery', 'target': 'Engage blue and brown light aircraft'}"
52,"{'heading': '360', 'target': 'yellow, silver, and red cargo aircraft', 'tool': 'interceptor jets'}","{'heading': '360', 'tool': 'Engage the yellow, silver, and red cargo aircraft', 'target': 'yellow, silver, and red cargo aircraft'}"
53,"{'heading': '310', 'target': 'green, red, and black fighter jet', 'tool': 'anti-air artillery'}","{'heading': '310', 'tool': 'anti-air artillery', 'target': 'anti - air artillery to intercept the green, red, and black fighter jet'}"
54,"{'heading': '075', 'target': 'silver, red, and white light aircraft', 'tool': 'anti-air artillery'}","{'heading': '075', 'tool': 'anti-air artillery', 'target': 'Engage target, silver, red, and white light aircraft'}"
55,"{'heading': '045', 'target': 'green fighter jet', 'tool': 'EMP'}","{'heading': '045', 'tool': 'Execute', 'target': 'green fighter jet'}"
56,"{'heading': '275', 'target': 'white and grey drone', 'tool': 'anti-air artillery'}","{'heading': '275', 'tool': 'anti-air artillery', 'target': 'anti - air artillery on the white and grey drone'}"
57,"{'heading': '140', 'target': 'brown and blue helicopter', 'tool': 'electromagnetic pulse'}","{'heading': '140', 'tool': '', 'target': 'brown and blue helicopter'}"
58,"{'heading': '290', 'target': 'blue and white light aircraft', 'tool': 'EMP'}","{'heading': '20', 'tool': 'EMP', 'target': 'Turrets, engage blue and white light aircraft'}"
59,"{'heading': '290', 'target': 'grey and white drone', 'tool': 'surface-to-air missiles'}","{'heading': '20', 'tool': 'surface-to-air missiles', 'target': 'grey and white drone'}"
60,"{'heading': '350', 'target': 'black and orange fighter plane', 'tool': 'machine gun'}","{'heading': '350', 'tool': 'Control tower to turrets, heading three five zero, deploy machine gun', 'target': 'turrets'}"
61,"{'heading': '025', 'target': 'grey and yellow cargo aircraft', 'tool': 'anti-air artillery'}","{'heading': '025', 'tool': 'anti-air artillery', 'target': 'anti - air artillery'}"
62,"{'heading': '215', 'target': 'black and red fighter jet', 'tool': 'surface-to-air missiles'}","{'heading': '21', 'tool': 'Engage, surface-to-air missiles', 'target': 'surface - to - air missiles'}"
63,"{'heading': '335', 'target': 'grey commercial aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '335', 'tool': 'electromagnetic pulse', 'target': 'electromagnetic pulse'}"
64,"{'heading': '075', 'target': 'red and yellow helicopter', 'tool': 'surface-to-air missiles'}","{'heading': '075', 'tool': 'Engage', 'target': 'a red and yellow helicopter'}"
65,"{'heading': '345', 'target': 'orange light aircraft', 'tool': 'EMP'}","{'heading': '345', 'tool': 'Control tower to turrets, deploy EMP', 'target': 'orange light aircraft'}"
66,"{'heading': '260', 'target': 'purple, white, and green drone', 'tool': 'EMP'}","{'heading': '260', 'tool': 'Deploy EMP', 'target': 'purple, white, and green drone'}"
67,"{'heading': '230', 'target': 'yellow, white, and blue light aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '230', 'tool': 'Engage', 'target': 'a yellow, white, and blue light aircraft'}"
68,"{'heading': '265', 'target': 'black cargo aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '265', 'tool': 'Delta Turret', 'target': 'black cargo aircraft'}"
69,"{'heading': '355', 'target': 'red and grey commercial aircraft', 'tool': 'EMP'}","{'heading': '355', 'tool': 'Lock target', 'target': 'Lock target'}"
70,"{'heading': '225', 'target': 'yellow, grey, and orange helicopter', 'tool': 'machine gun'}","{'heading': '225', 'tool': 'deploy machine gun', 'target': 'Turret Alfa, deploy machine gun on yellow, grey, and orange helicopter'}"
71,"{'heading': '230', 'target': 'orange, purple, and black fighter plane', 'tool': 'interceptor jets'}","{'heading': '230', 'tool': 'Deploy interceptor jets', 'target': ''}"
72,"{'heading': '260', 'target': 'grey, black, and orange missile', 'tool': 'machine gun'}","{'heading': '260', 'tool': 'Activate machine gun', 'target': 'machine gun, heading two six zero, engage grey, black, and orange missile'}"
73,"{'heading': '070', 'target': 'silver and red camouflage fighter jet', 'tool': 'anti-air artillery'}","{'heading': '070', 'tool': 'anti-air artillery', 'target': 'anti - air artillery against silver and red camouflage fighter jet'}"
74,"{'heading': '185', 'target': 'red, green, and silver missile', 'tool': 'surface-to-air missiles'}","{'heading': '185', 'tool': 'Deploy surface-to-air missiles', 'target': 'red, green, and silver missile'}"
75,"{'heading': '340', 'target': 'yellow and red helicopter', 'tool': 'machine gun'}","{'heading': '340', 'tool': 'turrets', 'target': 'turrets'}"
76,"{'heading': '345', 'target': 'blue fighter jet', 'tool': 'surface-to-air missiles'}","{'heading': '345', 'tool': 'deploy surface-to-air missiles towards a blue fighter jet', 'target': 'a blue fighter jet'}"
77,"{'heading': '185', 'target': 'orange drone', 'tool': 'drone catcher'}","{'heading': '185', 'tool': 'drone catcher', 'target': 'Turret Echo, engage orange drone'}"
78,"{'heading': '350', 'target': 'silver and purple camouflage cargo aircraft', 'tool': 'EMP'}","{'heading': '350', 'tool': 'EMP tool to heading three five zero, targeting the silver and purple camouflage cargo aircraft', 'target': 'silver and purple camouflage cargo aircraft'}"
79,"{'heading': '335', 'target': 'blue, grey, and orange missile', 'tool': 'surface-to-air missiles'}","{'heading': '335', 'tool': 'surface-to-air missiles', 'target': 'surface - to - air missiles'}"
80,"{'heading': '100', 'target': 'yellow fighter plane', 'tool': 'surface-to-air missiles'}","{'heading': '100', 'tool': 'surface-to-air missiles', 'target': 'the yellow fighter plane'}"
81,"{'heading': '100', 'target': 'purple, silver, and grey fighter plane', 'tool': 'machine gun'}","{'heading': '100', 'tool': 'machine gun', 'target': 'Turret Alpha, engage target, purple, silver, and grey fighter plane at heading one zero zero'}"
82,"{'heading': '220', 'target': 'red, black, and purple cargo aircraft', 'tool': 'interceptor jets'}","{'heading': '220', 'tool': 'Deploy interceptor jets', 'target': ''}"
83,"{'heading': '255', 'target': 'grey and green fighter plane', 'tool': 'electromagnetic pulse'}","{'heading': '255', 'tool': 'electromagnetic pulse', 'target': 'grey and green fighter plane'}"
84,"{'heading': '180', 'target': 'brown commercial aircraft', 'tool': 'EMP'}","{'heading': '180', 'tool': 'Deploy EMP', 'target': 'turrets'}"
85,"{'heading': '310', 'target': 'black cargo aircraft', 'tool': 'interceptor jets'}","{'heading': '310', 'tool': 'interceptor jets', 'target': 'interceptor jets'}"
86,"{'heading': '280', 'target': 'purple, green, and orange cargo aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '280', 'tool': 'Deploy electromagnetic pulse', 'target': 'Deploy electromagnetic pulse'}"
87,"{'heading': '350', 'target': 'brown, purple, and blue drone', 'tool': 'electromagnetic pulse'}","{'heading': '350', 'tool': 'electromagnetic pulse', 'target': 'electromagnetic pulse against brown, purple, and blue drone'}"
88,"{'heading': '180', 'target': 'brown light aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '180', 'tool': 'Engage and eliminate', 'target': 'brown light aircraft'}"
89,"{'heading': '175', 'target': 'yellow and black fighter jet', 'tool': 'machine gun'}","{'heading': '175', 'tool': 'machine gun', 'target': 'fighter jet'}"
90,"{'heading': '250', 'target': 'silver and green helicopter', 'tool': 'machine gun'}","{'heading': '250', 'tool': 'a machine gun', 'target': 'silver and green helicopter'}"
91,"{'heading': '260', 'target': 'orange and white fighter jet', 'tool': 'electromagnetic pulse'}","{'heading': '260', 'tool': 'electromagnetic pulse', 'target': 'orange and white fighter jet'}"
92,"{'heading': '195', 'target': 'yellow, red, and silver fighter plane', 'tool': 'interceptor jets'}","{'heading': '15', 'tool': 'Air defense turret', 'target': 'Air defense turret, deploy interceptor jets to heading one niner five. Engage the yellow, red, and silver fighter plane'}"
93,"{'heading': '345', 'target': 'orange and purple missile', 'tool': 'anti-air artillery'}","{'heading': '345', 'tool': 'anti-air artillery', 'target': 'anti - air artillery'}"
94,"{'heading': '305', 'target': 'purple, yellow, and brown fighter plane', 'tool': 'electromagnetic pulse'}","{'heading': '305', 'tool': 'electromagnetic pulse', 'target': 'fighter plane'}"
95,"{'heading': '330', 'target': 'orange, white, and blue fighter plane', 'tool': 'interceptor jets'}","{'heading': '330', 'tool': 'Deploy interceptor jets', 'target': 'interceptor jets, heading three three zero, intercept orange, white, and blue fighter plane'}"
96,"{'heading': '125', 'target': 'silver, green, and orange cargo aircraft', 'tool': 'EMP'}","{'heading': '125', 'tool': 'EMP', 'target': 'Engage target, silver, green, and orange cargo aircraft'}"
97,"{'heading': '270', 'target': 'silver and black commercial aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '270', 'tool': 'electromagnetic pulse', 'target': 'silver and black commercial aircraft'}"
98,"{'heading': '275', 'target': 'grey missile', 'tool': 'machine gun'}","{'heading': '275', 'tool': 'deploy machine gun', 'target': 'grey missile'}"
99,"{'heading': '305', 'target': 'orange missile', 'tool': 'EMP'}","{'heading': '305', 'tool': 'orange missile', 'target': 'orange missile'}"
100,"{'heading': '150', 'target': 'green, black, and silver missile', 'tool': 'EMP'}","{'heading': '150', 'tool': 'Control Tower to Turrets, deploy EMP', 'target': 'Control Tower to Turrets'}"
101,"{'heading': '175', 'target': 'brown fighter plane', 'tool': 'interceptor jets'}","{'heading': '175', 'tool': 'interceptor jets', 'target': 'brown fighter plane'}"
102,"{'heading': '005', 'target': 'red fighter jet', 'tool': 'EMP'}","{'heading': '005', 'tool': 'Deploy EMP', 'target': 'air defense turrets'}"
103,"{'heading': '230', 'target': 'blue drone', 'tool': 'EMP'}","{'heading': '230', 'tool': 'EMP', 'target': 'blue drone'}"
104,"{'heading': '105', 'target': 'brown and white cargo aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '105', 'tool': 'air defense turrets', 'target': 'brown and white cargo aircraft'}"
105,"{'heading': '105', 'target': 'blue light aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '105', 'tool': 'Deploy electromagnetic pulse', 'target': 'blue light aircraft'}"
106,"{'heading': '085', 'target': 'white, yellow, and silver commercial aircraft', 'tool': 'EMP'}","{'heading': '085', 'tool': 'Target locked', 'target': 'EMP'}"
107,"{'heading': '240', 'target': 'yellow, green, and orange commercial aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '240', 'tool': 'surface-to-air missiles', 'target': ''}"
108,"{'heading': '030', 'target': 'red, silver, and purple cargo aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '030', 'tool': 'Launch missiles', 'target': 'red, silver, and purple cargo aircraft'}"
109,"{'heading': '165', 'target': 'silver, blue, and green drone', 'tool': 'anti-air artillery'}","{'heading': '165', 'tool': 'anti-air artillery', 'target': 'Engage target, silver, blue, and green drone, at heading one six five with anti - air artillery'}"
110,"{'heading': '250', 'target': 'grey and blue commercial aircraft', 'tool': 'anti-air artillery'}","{'heading': '250', 'tool': 'anti-air artillery', 'target': 'anti - air artillery'}"
111,"{'heading': '165', 'target': 'white and blue drone', 'tool': 'anti-air artillery'}","{'heading': '165', 'tool': 'anti-air artillery', 'target': 'Turrets, deploy anti - air artillery on the white and blue drone'}"
112,"{'heading': '175', 'target': 'blue light aircraft', 'tool': 'machine gun'}","{'heading': '175', 'tool': 'Echo turret, deploy machine gun', 'target': 'blue light aircraft'}"
113,"{'heading': '230', 'target': 'red and purple fighter jet', 'tool': 'surface-to-air missiles'}","{'heading': '230', 'tool': 'surface-to-air missiles', 'target': 'red and purple fighter jet'}"
114,"{'heading': '105', 'target': 'black commercial aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '105', 'tool': 'surface-to-air missiles', 'target': 'surface - to - air missiles'}"
115,"{'heading': '320', 'target': 'black and brown helicopter', 'tool': 'machine gun'}","{'heading': '320', 'tool': 'deploy machine gun', 'target': 'Turret Bravo'}"
116,"{'heading': '240', 'target': 'black and grey fighter plane', 'tool': 'EMP'}","{'heading': '240', 'tool': 'EMP', 'target': 'Engage target, black and grey fighter plane'}"
117,"{'heading': '060', 'target': 'black and grey cargo aircraft', 'tool': 'EMP'}","{'heading': '060', 'tool': 'EMP', 'target': 'black and grey cargo aircraft'}"
118,"{'heading': '075', 'target': 'blue and orange fighter jet', 'tool': 'electromagnetic pulse'}","{'heading': '075', 'tool': 'Engage electromagnetic pulse on the blue and orange fighter jet at heading zero seven five. Execute', 'target': 'fighter jet'}"
119,"{'heading': '255', 'target': 'black drone', 'tool': 'drone catcher'}","{'heading': '255', 'tool': 'Deploy drone catcher', 'target': 'air defense turrets'}"
120,"{'heading': '080', 'target': 'yellow and black light aircraft', 'tool': 'machine gun'}","{'heading': '080', 'tool': 'machine gun tool', 'target': 'yellow and black light aircraft'}"
121,"{'heading': '055', 'target': 'purple light aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '05', 'tool': 'surface-to-air missiles', 'target': 'surface - to - air missiles'}"
122,"{'heading': '040', 'target': 'yellow, silver, and grey missile', 'tool': 'electromagnetic pulse'}","{'heading': '040', 'tool': 'turrets', 'target': 'a yellow, silver, and grey missile'}"
123,"{'heading': '285', 'target': 'white, silver, and orange light aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '285', 'tool': 'Deploy surface-to-air missiles', 'target': 'a white, silver, and orange light aircraft'}"
124,"{'heading': '325', 'target': 'blue, orange, and brown missile', 'tool': 'surface-to-air missiles'}","{'heading': '325', 'tool': 'Control tower to defense turrets, prepare to engage. Deploy surface-to-air missiles', 'target': 'Control tower to defense turrets'}"
125,"{'heading': '150', 'target': 'green, blue, and orange drone', 'tool': 'anti-air artillery'}","{'heading': '150', 'tool': 'anti-air artillery', 'target': 'anti - air artillery'}"
126,"{'heading': '055', 'target': 'red, purple, and silver fighter jet', 'tool': 'EMP'}","{'heading': '055', 'tool': 'Air defense turret', 'target': 'Air defense turret, deploy EMP on red, purple, and silver fighter jet heading zero five five'}"
127,"{'heading': '155', 'target': 'yellow and silver fighter plane', 'tool': 'machine gun'}","{'heading': '155', 'tool': 'Engage', 'target': 'Engage'}"
128,"{'heading': '340', 'target': 'green, grey, and orange light aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '340', 'tool': 'deploy surface-to-air missiles', 'target': 'green, grey, and orange light aircraft'}"
129,"{'heading': '175', 'target': 'blue and brown fighter plane', 'tool': 'machine gun'}","{'heading': '175', 'tool': 'Deploy machine gun', 'target': 'air defense turrets, heading one seven five. Deploy machine gun on blue and brown fighter plane'}"
130,"{'heading': '325', 'target': 'yellow drone', 'tool': 'machine gun'}","{'heading': '325', 'tool': 'Deploy machine gun', 'target': 'yellow drone'}"
131,"{'heading': '045', 'target': 'red helicopter', 'tool': 'anti-air artillery'}","{'heading': '045', 'tool': 'anti-air artillery', 'target': 'a red helicopter'}"
132,"{'heading': '355', 'target': 'grey, silver, and red drone', 'tool': 'drone catcher'}","{'heading': '355', 'tool': 'drone catcher', 'target': 'Turret Bravo, deploy drone catcher to intercept grey, silver, and red drone'}"
133,"{'heading': '350', 'target': 'brown, purple, and blue fighter plane', 'tool': 'interceptor jets'}","{'heading': '350', 'tool': 'air defense turrets', 'target': 'air defense turrets'}"
134,"{'heading': '050', 'target': 'purple and grey light aircraft', 'tool': 'EMP'}","{'heading': '050', 'tool': 'EMP', 'target': 'purple and grey light aircraft'}"
135,"{'heading': '015', 'target': 'purple and black commercial aircraft', 'tool': 'EMP'}","{'heading': '015', 'tool': 'EMP', 'target': 'zero one five'}"
136,"{'heading': '110', 'target': 'grey and orange fighter plane', 'tool': 'interceptor jets'}","{'heading': '110', 'tool': 'Engage', 'target': 'grey and orange fighter plane'}"
137,"{'heading': '020', 'target': 'grey and yellow commercial aircraft', 'tool': 'anti-air artillery'}","{'heading': '020', 'tool': 'anti-air artillery', 'target': 'grey and yellow commercial aircraft'}"
138,"{'heading': '270', 'target': 'purple commercial aircraft', 'tool': 'interceptor jets'}","{'heading': '270', 'tool': 'air defense turrets', 'target': 'purple commercial aircraft'}"
139,"{'heading': '170', 'target': 'silver, grey, and yellow light aircraft', 'tool': 'machine gun'}","{'heading': '70', 'tool': 'machine gun', 'target': 'Turret, head one seven zero. Engage silver, grey, and yellow light aircraft with the machine gun'}"
140,"{'heading': '250', 'target': 'brown missile', 'tool': 'EMP'}","{'heading': '250', 'tool': 'EMP', 'target': 'brown missile'}"
141,"{'heading': '265', 'target': 'white and silver cargo aircraft', 'tool': 'EMP'}","{'heading': '265', 'tool': 'EMP', 'target': 'white and silver cargo aircraft'}"
142,"{'heading': '055', 'target': 'grey, orange, and yellow fighter jet', 'tool': 'surface-to-air missiles'}","{'heading': '055', 'tool': 'surface-to-air missiles', 'target': ''}"
143,"{'heading': '220', 'target': 'silver helicopter', 'tool': 'machine gun'}","{'heading': '220', 'tool': 'Deploy machine gun', 'target': 'silver helicopter'}"
144,"{'heading': '130', 'target': 'blue and yellow camouflage cargo aircraft', 'tool': 'anti-air artillery'}","{'heading': '130', 'tool': 'Fire anti-air artillery', 'target': 'Fire anti - air artillery at the blue and yellow camouflage cargo aircraft'}"
145,"{'heading': '245', 'target': 'brown fighter jet', 'tool': 'machine gun'}","{'heading': '245', 'tool': 'machine gun', 'target': 'brown fighter jet'}"
146,"{'heading': '050', 'target': 'orange, brown, and yellow fighter jet', 'tool': 'machine gun'}","{'heading': '050', 'tool': 'Deploy machine gun', 'target': 'an orange, brown, and yellow fighter jet'}"
147,"{'heading': '180', 'target': 'white and red light aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '180', 'tool': '', 'target': 'Engage'}"
148,"{'heading': '190', 'target': 'silver and purple commercial aircraft', 'tool': 'EMP'}","{'heading': '0', 'tool': 'Deploy EMP', 'target': 'silver and purple commercial aircraft'}"
149,"{'heading': '135', 'target': 'brown helicopter', 'tool': 'surface-to-air missiles'}","{'heading': '135', 'tool': '', 'target': 'Fire'}"
150,"{'heading': '290', 'target': 'red cargo aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '20', 'tool': '', 'target': 'red cargo aircraft'}"
151,"{'heading': '355', 'target': 'purple fighter plane', 'tool': 'electromagnetic pulse'}","{'heading': '355', 'tool': '', 'target': 'purple fighter plane'}"
152,"{'heading': '150', 'target': 'grey missile', 'tool': 'electromagnetic pulse'}","{'heading': '150', 'tool': 'grey missile', 'target': 'grey missile'}"
153,"{'heading': '295', 'target': 'yellow light aircraft', 'tool': 'machine gun'}","{'heading': '25', 'tool': 'Engage', 'target': '. Over'}"
154,"{'heading': '325', 'target': 'silver fighter plane', 'tool': 'machine gun'}","{'heading': '325', 'tool': 'machine gun', 'target': 'machine gun tool'}"
155,"{'heading': '115', 'target': 'brown, grey, and white fighter plane', 'tool': 'EMP'}","{'heading': '115', 'tool': 'EMP', 'target': 'Control tower to all air defense turrets'}"
